study	patient	gene	n_cells	detection_fraction	mean_log_expression
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	PRKCI	550	0.44	0.18458807468414307
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P4	CLDN1	1519	0.5852534562211982	0.398857057094574
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P4	CLDN10	1519	0.0013166556945358788	0.0017761255148798227
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P4	CLDN11	1519	0.005266622778143515	0.002277146326377988
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P4	CLDN12	1519	0.27518104015799866	0.12579767405986786
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P4	CLDN14	1519	0.01053324555628703	0.0037000211887061596
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P4	CLDN15	1519	0.22514812376563528	0.09803185611963272
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P4	CLDN16	1519	0.016458196181698487	0.007384303957223892
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P4	CLDN17	1519	0.0	0.0
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P4	CLDN18	1519	0.0	0.0
